date,county,state,fips,cases,deaths
2020-03-29,Autauga,Alabama,1001,6,0
2020-03-29,Baldwin,Alabama,1003,15,0
2020-03-29,Blount,Alabama,1009,5,0
2020-03-29,Bullock,Alabama,1011,3,0
2020-03-29,Butler,Alabama,1013,1,0
2020-03-29,Calhoun,Alabama,1015,3,0
2020-03-29,Chambers,Alabama,1017,27,1
2020-03-29,Cherokee,Alabama,1019,2,0
2020-03-29,Chilton,Alabama,1021,8,0
2020-03-29,Choctaw,Alabama,1023,1,0
2020-03-29,Clay,Alabama,1027,2,0
2020-03-29,Cleburne,Alabama,1029,5,0
2020-03-29,Colbert,Alabama,1033,2,0
2020-03-29,Coosa,Alabama,1037,3,0
2020-03-29,Covington,Alabama,1039,2,0
2020-03-29,Crenshaw,Alabama,1041,1,0
2020-03-29,Cullman,Alabama,1043,7,0
2020-03-29,Dallas,Alabama,1047,2,0
2020-03-29,DeKalb,Alabama,1049,4,0
2020-03-29,Elmore,Alabama,1051,13,0
2020-03-29,Escambia,Alabama,1053,1,0
2020-03-29,Etowah,Alabama,1055,6,0
2020-03-29,Franklin,Alabama,1059,3,0
2020-03-29,Greene,Alabama,1063,3,0
2020-03-29,Houston,Alabama,1069,8,0
2020-03-29,Jackson,Alabama,1071,5,1
2020-03-29,Jefferson,Alabama,1073,246,0
2020-03-29,Lamar,Alabama,1075,1,0
2020-03-29,Lauderdale,Alabama,1077,12,1
2020-03-29,Lawrence,Alabama,1079,3,0
2020-03-29,Lee,Alabama,1081,57,0
2020-03-29,Limestone,Alabama,1083,16,0
2020-03-29,Lowndes,Alabama,1085,1,0
2020-03-29,Macon,Alabama,1087,1,0
2020-03-29,Madison,Alabama,1089,80,1
2020-03-29,Marengo,Alabama,1091,5,0
2020-03-29,Marion,Alabama,1093,10,0
2020-03-29,Marshall,Alabama,1095,5,0
2020-03-29,Mobile,Alabama,1097,41,1
2020-03-29,Monroe,Alabama,1099,1,0
2020-03-29,Montgomery,Alabama,1101,22,0
2020-03-29,Morgan,Alabama,1103,17,0
2020-03-29,Pickens,Alabama,1107,2,0
2020-03-29,Pike,Alabama,1109,4,0
2020-03-29,Randolph,Alabama,1111,2,0
2020-03-29,Russell,Alabama,1113,1,0
2020-03-29,Shelby,Alabama,1117,79,0
2020-03-29,St. Clair,Alabama,1115,13,0
2020-03-29,Talladega,Alabama,1121,4,0
2020-03-29,Tallapoosa,Alabama,1123,8,0
2020-03-29,Tuscaloosa,Alabama,1125,23,0
2020-03-29,Walker,Alabama,1127,30,0
2020-03-29,Washington,Alabama,1129,4,0
2020-03-29,Wilcox,Alabama,1131,2,0
2020-03-29,Winston,Alabama,1133,2,0
2020-03-29,Anchorage,Alaska,2020,59,2
2020-03-29,Fairbanks North Star Borough,Alaska,2090,28,0
2020-03-29,Juneau City and Borough,Alaska,2110,5,0
2020-03-29,Kenai Peninsula Borough,Alaska,2122,7,0
2020-03-29,Ketchikan Gateway Borough,Alaska,2130,13,0
2020-03-29,Matanuska-Susitna Borough,Alaska,2170,2,0
2020-03-29,Apache,Arizona,4001,13,0
2020-03-29,Cochise,Arizona,4003,3,0
2020-03-29,Coconino,Arizona,4005,68,2
2020-03-29,Gila,Arizona,4007,1,0
2020-03-29,Graham,Arizona,4009,2,0
2020-03-29,La Paz,Arizona,4012,2,0
2020-03-29,Maricopa,Arizona,4013,546,5
2020-03-29,Mohave,Arizona,4015,6,0
2020-03-29,Navajo,Arizona,4017,62,0
2020-03-29,Pima,Arizona,4019,153,6
2020-03-29,Pinal,Arizona,4021,51,0
2020-03-29,Santa Cruz,Arizona,4023,2,0
2020-03-29,Yavapai,Arizona,4025,12,0
2020-03-29,Yuma,Arizona,4027,9,0
2020-03-29,Arkansas,Arkansas,5001,1,0
2020-03-29,Ashley,Arkansas,5003,1,0
2020-03-29,Baxter,Arkansas,5005,1,0
2020-03-29,Benton,Arkansas,5007,33,0
2020-03-29,Boone,Arkansas,5009,1,0
2020-03-29,Bradley,Arkansas,5011,4,0
2020-03-29,Chicot,Arkansas,5017,2,0
2020-03-29,Clark,Arkansas,5019,18,0
2020-03-29,Cleburne,Arkansas,5023,56,2
2020-03-29,Cleveland,Arkansas,5025,5,0
2020-03-29,Columbia,Arkansas,5027,2,0
2020-03-29,Conway,Arkansas,5029,2,1
2020-03-29,Craighead,Arkansas,5031,6,0
2020-03-29,Crawford,Arkansas,5033,2,0
2020-03-29,Crittenden,Arkansas,5035,17,0
2020-03-29,Cross,Arkansas,5037,2,0
2020-03-29,Desha,Arkansas,5041,2,0
2020-03-29,Drew,Arkansas,5043,2,0
2020-03-29,Faulkner,Arkansas,5045,30,0
2020-03-29,Garland,Arkansas,5051,26,0
2020-03-29,Grant,Arkansas,5053,3,0
2020-03-29,Greene,Arkansas,5055,3,0
2020-03-29,Hempstead,Arkansas,5057,1,0
2020-03-29,Hot Spring,Arkansas,5059,3,0
2020-03-29,Howard,Arkansas,5061,3,0
2020-03-29,Independence,Arkansas,5063,3,0
2020-03-29,Jefferson,Arkansas,5069,26,0
2020-03-29,Johnson,Arkansas,5071,1,0
2020-03-29,Lawrence,Arkansas,5075,1,0
2020-03-29,Lincoln,Arkansas,5079,6,0
2020-03-29,Lonoke,Arkansas,5085,4,0
2020-03-29,Nevada,Arkansas,5099,1,0
2020-03-29,Perry,Arkansas,5105,1,0
2020-03-29,Pike,Arkansas,5109,3,0
2020-03-29,Poinsett,Arkansas,5111,3,0
2020-03-29,Polk,Arkansas,5113,2,0
2020-03-29,Pope,Arkansas,5115,4,0
2020-03-29,Pulaski,Arkansas,5119,94,2
2020-03-29,Randolph,Arkansas,5121,2,0
2020-03-29,Saline,Arkansas,5125,6,0
2020-03-29,Searcy,Arkansas,5129,4,0
2020-03-29,Sebastian,Arkansas,5131,5,0
2020-03-29,Sevier,Arkansas,5133,2,0
2020-03-29,Stone,Arkansas,5137,4,0
2020-03-29,Union,Arkansas,5139,6,0
2020-03-29,Van Buren,Arkansas,5141,18,1
2020-03-29,Washington,Arkansas,5143,15,0
2020-03-29,White,Arkansas,5145,6,0
2020-03-29,Woodruff,Arkansas,5147,1,0
2020-03-29,Alameda,California,6001,291,6
2020-03-29,Amador,California,6005,1,0
2020-03-29,Butte,California,6007,5,0
2020-03-29,Calaveras,California,6009,3,0
2020-03-29,Colusa,California,6011,1,0
2020-03-29,Contra Costa,California,6013,175,3
2020-03-29,El Dorado,California,6017,12,0
2020-03-29,Fresno,California,6019,43,0
2020-03-29,Glenn,California,6021,1,0
2020-03-29,Humboldt,California,6023,18,0
2020-03-29,Imperial,California,6025,25,0
2020-03-29,Inyo,California,6027,8,0
2020-03-29,Kern,California,6029,51,1
2020-03-29,Kings,California,6031,2,0
2020-03-29,Los Angeles,California,6037,2136,37
2020-03-29,Madera,California,6039,18,1
2020-03-29,Marin,California,6041,93,1
2020-03-29,Mendocino,California,6045,3,0
2020-03-29,Merced,California,6047,8,0
2020-03-29,Mono,California,6051,11,0
2020-03-29,Monterey,California,6053,32,1
2020-03-29,Napa,California,6055,11,0
2020-03-29,Nevada,California,6057,12,0
2020-03-29,Orange,California,6059,431,4
2020-03-29,Placer,California,6061,53,2
2020-03-29,Riverside,California,6065,195,8
2020-03-29,Sacramento,California,6067,164,6
2020-03-29,San Benito,California,6069,14,1
2020-03-29,San Bernardino,California,6071,111,3
2020-03-29,San Diego,California,6073,519,7
2020-03-29,San Francisco,California,6075,343,5
2020-03-29,San Joaquin,California,6077,121,5
2020-03-29,San Luis Obispo,California,6079,71,0
2020-03-29,San Mateo,California,6081,277,6
2020-03-29,Santa Barbara,California,6083,68,0
2020-03-29,Santa Clara,California,6085,646,26
2020-03-29,Santa Cruz,California,6087,44,1
2020-03-29,Shasta,California,6089,4,1
2020-03-29,Siskiyou,California,6093,3,0
2020-03-29,Solano,California,6095,39,0
2020-03-29,Sonoma,California,6097,57,1
2020-03-29,Stanislaus,California,6099,31,0
2020-03-29,Sutter,California,6101,6,0
2020-03-29,Tulare,California,6107,35,1
2020-03-29,Tuolumne,California,6109,1,0
2020-03-29,Ventura,California,6111,109,4
2020-03-29,Yolo,California,6113,16,1
2020-03-29,Yuba,California,6115,3,0
2020-03-29,Adams,Colorado,8001,110,0
2020-03-29,Alamosa,Colorado,8003,1,0
2020-03-29,Arapahoe,Colorado,8005,241,3
2020-03-29,Baca,Colorado,8009,1,0
2020-03-29,Boulder,Colorado,8013,90,1
2020-03-29,Broomfield,Colorado,8014,17,0
2020-03-29,Chaffee,Colorado,8015,15,1
2020-03-29,Clear Creek,Colorado,8019,3,0
2020-03-29,Costilla,Colorado,8023,1,0
2020-03-29,Crowley,Colorado,8025,1,1
2020-03-29,Delta,Colorado,8029,1,0
2020-03-29,Denver,Colorado,8031,408,5
2020-03-29,Douglas,Colorado,8035,102,0
2020-03-29,Eagle,Colorado,8037,187,2
2020-03-29,El Paso,Colorado,8041,214,11
2020-03-29,Elbert,Colorado,8039,3,0
2020-03-29,Fremont,Colorado,8043,1,0
2020-03-29,Garfield,Colorado,8045,25,0
2020-03-29,Grand,Colorado,8049,2,0
2020-03-29,Gunnison,Colorado,8051,79,1
2020-03-29,Hinsdale,Colorado,8053,1,0
2020-03-29,Huerfano,Colorado,8055,1,0
2020-03-29,Jefferson,Colorado,8059,213,5
2020-03-29,Kit Carson,Colorado,8063,1,0
2020-03-29,La Plata,Colorado,8067,21,0
2020-03-29,Larimer,Colorado,8069,84,3
2020-03-29,Lincoln,Colorado,8073,1,0
2020-03-29,Logan,Colorado,8075,5,0
2020-03-29,Mesa,Colorado,8077,11,0
2020-03-29,Mineral,Colorado,8079,1,0
2020-03-29,Moffat,Colorado,8081,2,0
2020-03-29,Montezuma,Colorado,8083,1,0
2020-03-29,Montrose,Colorado,8085,8,0
2020-03-29,Morgan,Colorado,8087,5,0
2020-03-29,Otero,Colorado,8089,3,0
2020-03-29,Park,Colorado,8093,3,0
2020-03-29,Pitkin,Colorado,8097,27,2
2020-03-29,Pueblo,Colorado,8101,18,1
2020-03-29,Rio Grande,Colorado,8105,3,0
2020-03-29,Routt,Colorado,8107,16,0
2020-03-29,San Miguel,Colorado,8113,1,0
2020-03-29,Summit,Colorado,8117,11,0
2020-03-29,Teller,Colorado,8119,7,1
2020-03-29,Washington,Colorado,8121,1,0
2020-03-29,Weld,Colorado,8123,180,9
2020-03-29,Yuma,Colorado,8125,2,0
